Algorithm,SAT clauses,Number of variables,Number of clauses,Quantum annealing iterations,Annealing access time,Circuit search iterations,Problem solutions,Total iterations,Number of states superposed,Number of neighbours,Number of variables annealing,Variables,Mean distance,Standar deviation distance,Number of ancilla qubits,Number of states,Initial state,Grover full states,Grover full solutions,Grover full iterations,Solution obtained,Seed,Example,Annealing solution,Mean distance from annealing solutions,Distance calculated from annealing solution,Minimum distance from annealing solution,Minimum states from annealing solution,Minimum distance from 0 solution,Minimum states from 0 solution,id
Adiabatic + circuit search,"[[4, 5, 6], [4, 7, -8], [3, -5, 9], [-3, -9, 10], [3, -5, -7], [2, 8, 10], [-3, 6, -9], [-6, 8, 10], [2, -3, 10], [2, 6, -8], [7, -8, 10], [4, -7, 10], [1, -2, -4], [-1, 2, 7], [3, 5, -6], [-2, 3, -7], [-1, -5, 10], [-4, 5, -10], [3, -4, 6], [-3, 4, 6], [3, 7, -9], [1, -6, 8], [1, 6, -8], [5, 6, 9], [4, -5, 7], [5, 6, -7], [3, 8, -10], [-1, 2, -10], [5, 6, 8], [2, 7, 9], [-2, -3, -7], [1, -3, -5], [7, -8, 9], [3, -4, 8], [2, 3, 6], [-2, -4, 8], [1, 3, -9], [-3, 4, 9], [-1, 7, -8], [2, -3, -7]]",10,40,0,34659.75,15,"[{1: True, -1: False, 2: True, -2: False, 3: True, -3: False, 4: False, -4: True, 5: False, -5: True, 6: True, -6: False, 7: False, -7: True, 8: False, -8: True, 9: True, -9: False, 10: True, -10: False}]",15,386,4,24,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_2, y_1_5, y_2_3, y_2_7, y_3_5, y_3_6, y_3_9, y_4_5, y_4_7, y_4_8, y_5_6, y_6_8, y_7_8, y_8_10]",2.9473684210526314,1.3529262199858298,4.0,386,1111100100,1024,1,25,0,stochastic,3_sat_10_variables_4.0_density_example_0,1111100100,2.9473684210526314,3,4,['1100100111'],6,['1100100111'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_0
Adiabatic + circuit search,"[[2, -6, 8], [1, 4, -8], [6, 9, 10], [1, -2, -3], [3, 7, 8], [-1, -5, 7], [1, 2, -8], [1, 2, -5], [4, 8, -9], [-2, -3, -8], [-1, -3, -8], [1, 3, -6], [-4, -6, -10], [-2, -3, -7], [-5, -6, -7], [-4, -7, -10], [-3, 5, 8], [2, 3, 6], [5, -9, -10], [4, -6, -10], [3, 8, 10], [-1, -2, 8], [-4, 6, 7], [1, 8, 10], [-3, 6, -9], [-4, 5, -10], [-1, -2, 5], [-4, 5, -6], [2, -4, -10], [-3, -4, 9], [-2, 3, -5], [7, -8, 10], [3, 5, 9], [-1, -3, 5], [4, -8, 10], [-1, -6, -8], [-4, 7, -8], [1, 3, 5], [5, 7, -8], [1, 6, -8]]",10,40,0,34656.75,19,"[{1: True, -1: False, 2: False, -2: True, 3: True, -3: False, 4: False, -4: True, 5: True, -5: False, 6: False, -6: True, 7: True, -7: False, 8: False, -8: True, 9: False, -9: True, 10: True, -10: False}]",19,638,5,24,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_3, y_1_8, y_2_3, y_2_6, y_3_5, y_3_8, y_3_9, y_4_10, y_4_5, y_4_7, y_4_8, y_5_7, y_7_8, y_9_10]",3.590909090909091,1.5934117606447615,4.0,638,0111011001,1024,1,25,0,stochastic,3_sat_10_variables_4.0_density_example_1,0111011001,3.590909090909091,4,5,['1001010101'],5,['1001010101'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_1
Adiabatic + circuit search,"[[1, 8, -10], [-4, -5, 10], [1, -2, 3], [1, 2, -10], [4, -7, -10], [-2, -3, -4], [-1, -2, 3], [-1, 6, -8], [5, 6, 9], [-2, -3, -5], [1, 2, -9], [7, -9, 10], [-6, 7, -10], [-2, 3, 9], [5, 7, 10], [-2, 6, -7], [-1, -9, 10], [-1, 3, 7], [2, 5, 6], [1, -4, 7], [4, 8, -9], [3, 8, -9], [-1, -8, -9], [5, -6, 10], [-4, 6, -7], [-2, -7, 8], [5, 7, -9], [-6, -7, 10], [1, -6, -7], [-5, -6, -7], [-3, -4, -9], [5, 6, 8], [-6, -7, -8], [-3, 5, 8], [-1, 4, 9], [-2, 5, 8], [2, 4, -5], [-2, -3, -9], [-5, -6, 8], [-3, -4, 8]]",10,40,0,34645.75,19,"[{1: True, -1: False, 2: False, -2: True, 3: False, -3: True, 4: True, -4: False, 5: False, -5: True, 6: True, -6: False, 7: True, -7: False, 8: False, -8: True, 9: False, -9: True, 10: True, -10: False}]",19,638,5,24,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_10, y_1_6, y_1_7, y_1_9, y_2_3, y_2_5, y_2_7, y_3_8, y_4_9, y_5_10, y_5_6, y_5_7, y_6_7, y_7_10]",4.85,1.6311119875071343,4.0,638,1001101001,1024,1,25,1,stochastic,3_sat_10_variables_4.0_density_example_2,1001101001,4.85,5,0,['1001101001'],5,['1001101001'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_2
Adiabatic + circuit search,"[[-1, 2, 8], [1, 4, -9], [1, 8, 9], [-3, -9, -10], [-3, -7, -9], [5, -7, -10], [-1, 8, -10], [-2, 8, 9], [2, -3, -7], [2, -7, -9], [4, 7, 9], [-3, 7, -9], [-1, -2, 3], [2, -4, 7], [1, -5, -6], [-3, -4, -9], [-4, 7, 8], [3, -5, 8], [2, 8, 10], [3, -9, -10], [3, 6, -8], [2, -6, -9], [2, -8, -10], [-2, -3, -4], [2, 8, -9], [6, 7, -9], [-4, -5, -7], [1, -2, 10], [4, -7, 8], [4, 7, -10], [1, 5, 10], [-1, 5, -8], [-4, 6, 7], [-1, -7, 8], [-2, 9, 10], [-4, 5, 9], [-3, 6, 9], [-2, 7, -8], [5, -6, 7], [-6, -8, -10]]",10,40,0,33655.79,19,"[{1: True, -1: False, 2: False, -2: True, 3: False, -3: True, 4: False, -4: True, 5: True, -5: False, 6: True, -6: False, 7: True, -7: False, 8: True, -8: False, 9: False, -9: True, 10: False, -10: True}]",19,638,5,23,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_2, y_1_5, y_1_8, y_2_3, y_2_7, y_2_8, y_2_9, y_3_8, y_4_7, y_4_9, y_5_7, y_6_9, y_8_10]",4.105263157894737,1.2425214883947913,4.0,638,0011010001,1024,1,25,1,stochastic,3_sat_10_variables_4.0_density_example_3,0011010001,4.105263157894737,5,1,['0011110001'],5,['0011110001'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_3
Adiabatic + circuit search,"[[-3, -6, 8], [-4, -5, 8], [-2, 4, 7], [2, -3, -8], [1, -5, -9], [6, -7, 8], [6, -8, 10], [-3, -9, 10], [-6, -9, -10], [-2, 3, -9], [-5, 6, 8], [-3, -4, 6], [1, -2, -9], [-1, -3, -5], [-5, -6, 7], [-5, -6, 9], [-1, -5, 9], [5, 8, -9], [3, -7, -8], [-1, -6, 7], [2, -5, 7], [-4, -6, -7], [-1, -5, -8], [-1, 8, -9], [1, -2, 4], [3, 5, 8], [6, 7, -10], [-2, 7, 9], [-3, 9, 10], [4, -7, 10], [2, -4, 7], [-3, 4, -5], [5, 6, 10], [1, 9, -10], [-3, -7, 10], [-1, -7, -10], [2, -6, -9], [-2, 8, 10], [-1, -5, -7], [3, 6, 9]]",10,40,0,34658.35,22,"[{1: False, -1: True, 2: False, -2: True, 3: False, -3: True, 4: False, -4: True, 5: False, -5: True, 6: True, -6: False, 7: False, -7: True, 8: True, -8: False, 9: False, -9: True, 10: False, -10: True}]",22,848,6,24,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_5, y_1_9, y_2_4, y_2_5, y_2_8, y_2_9, y_3_5, y_3_6, y_3_8, y_5_8, y_6_10, y_6_7, y_6_9, y_7_10]",3.0526315789473686,1.6149882768933415,4.0,848,1011101111,1024,1,25,0,stochastic,3_sat_10_variables_4.0_density_example_4,1011101111,3.0526315789473686,4,6,['0010100000'],2,['0010100000'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_4
Adiabatic + circuit search,"[[-3, -8, -10], [-1, 8, 9], [-1, 8, -9], [-4, -5, -9], [3, 7, 10], [-3, -7, -8], [-1, -2, -4], [7, 8, 9], [-3, -5, -7], [-4, 8, -9], [-4, 6, -8], [-2, -4, 5], [4, 5, 6], [4, 7, -9], [-1, -6, 10], [2, 7, -10], [-4, -8, -9], [5, -9, 10], [1, -6, -8], [-2, 6, -10], [4, 7, -8], [3, 7, -8], [-4, 5, 9], [-2, -9, 10], [-7, -8, 10], [-3, 4, -6], [2, 9, 10], [2, -3, -9], [1, 2, -10], [1, -2, 3], [-3, 4, 5], [3, -9, -10], [2, -5, 7], [1, 3, -7], [-1, -2, 6], [5, -6, -7], [1, 4, -5], [-3, 9, -10], [2, 3, -8], [4, 8, 9]]",10,40,0,32659.23,22,"[{1: True, -1: False, 2: True, -2: False, 3: False, -3: True, 4: False, -4: True, 5: True, -5: False, 6: True, -6: False, 7: True, -7: False, 8: True, -8: False, 9: False, -9: True, 10: True, -10: False}]",22,848,6,22,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_2, y_1_6, y_2_10, y_2_3, y_3_7, y_3_8, y_4_5, y_4_6, y_4_9, y_5_7, y_7_8, y_9_10]",4.8,2.117595458607661,4.0,848,0010011110,1024,1,25,0,stochastic,3_sat_10_variables_4.0_density_example_5,0010011110,4.8,5,6,['1011110011'],7,['1011110011'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_5
Adiabatic + circuit search,"[[2, 5, -9], [2, 8, 10], [1, -4, 10], [-2, 5, 10], [-1, -4, 8], [5, 8, -9], [1, 4, -6], [-3, -6, -7], [2, -6, -10], [2, 8, -9], [1, 5, -7], [-2, -6, 8], [-3, -4, -5], [-1, 4, -7], [4, 6, 10], [-2, 3, -7], [4, -7, 8], [1, 7, -8], [-4, -5, 8], [-1, -6, 10], [6, 7, -10], [5, -8, -9], [-2, -4, 5], [-4, 6, 9], [1, -4, -5], [3, -6, -10], [3, -7, -10], [2, 6, 7], [2, -7, -10], [1, 2, 5], [-5, -7, 8], [-1, 5, 9], [-2, 6, -8], [1, 9, 10], [6, 8, 10], [-2, -3, -5], [5, 8, 10], [1, -3, 7], [1, 8, -9], [-3, 4, -6]]",10,40,0,34645.75,19,"[{1: True, -1: False, 2: False, -2: True, 3: False, -3: True, 4: True, -4: False, 5: True, -5: False, 6: False, -6: True, 7: True, -7: False, 8: True, -8: False, 9: True, -9: False, 10: False, -10: True}]",19,638,5,24,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_4, y_1_5, y_1_7, y_1_9, y_2_10, y_2_5, y_2_6, y_2_8, y_3_7, y_4_5, y_4_6, y_4_7, y_5_8, y_6_10]",4.052631578947368,1.928548222268252,4.0,638,0111011001,1024,1,25,1,stochastic,3_sat_10_variables_4.0_density_example_6,0111011001,4.052631578947368,5,0,['0111011001'],6,['0111011001'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_6
Adiabatic + circuit search,"[[-2, 5, 7], [1, -3, -8], [1, -9, -10], [-2, -4, 6], [4, -8, -9], [-1, -2, 10], [-7, 8, -10], [-2, 3, 5], [-4, 6, 9], [1, -2, 5], [1, -3, -6], [-3, -6, 8], [-3, 4, -10], [-2, 4, -6], [5, 8, 9], [-2, 6, 7], [1, 2, -7], [4, -5, 9], [-2, 3, 9], [-1, -7, 9], [-1, -4, -10], [4, 5, 6], [-2, 3, -6], [-2, -4, -10], [-4, 5, 10], [1, 4, 10], [3, -5, -9], [-6, -8, -9], [5, 6, 9], [2, 5, 10], [-2, -4, -5], [-5, -6, 8], [7, -8, -10], [-6, 8, -9], [3, -4, 9], [-1, 2, -3], [-3, 4, -8], [4, -5, 6], [-7, -9, 10], [-6, -7, 9]]",10,40,0,33669.59,19,"[{1: False, -1: True, 2: False, -2: True, 3: True, -3: False, 4: True, -4: False, 5: True, -5: False, 6: False, -6: True, 7: False, -7: True, 8: False, -8: True, 9: True, -9: False, 10: False, -10: True}]",19,638,5,23,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_2, y_1_3, y_1_9, y_2_3, y_2_5, y_2_6, y_3_8, y_4_10, y_4_9, y_5_6, y_5_9, y_7_10, y_7_9]",4.15,1.3869694338832113,4.0,638,0100011000,1024,1,25,1,stochastic,3_sat_10_variables_4.0_density_example_7,0100011000,4.15,5,1,['0100011100'],4,['0100011100'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_7
Adiabatic + circuit search,"[[2, 3, -7], [-3, 4, 6], [1, -8, -9], [5, -6, 7], [3, 5, 6], [1, -5, 6], [1, 3, -9], [-1, -8, -9], [-1, -3, -8], [-5, -8, -9], [3, -6, -10], [1, -5, 7], [2, 5, 7], [5, 9, -10], [-2, 5, -9], [-4, 5, 10], [-2, 5, -6], [1, -3, 5], [2, 8, -9], [-7, 8, 9], [7, 8, -10], [4, 9, -10], [3, 4, 6], [1, -3, 6], [-4, 6, -9], [8, 9, 10], [-2, 3, -6], [-1, -7, -9], [3, -9, -10], [2, 3, -8], [-5, -6, -7], [-5, 7, 10], [4, -8, -10], [1, 3, -10], [6, -7, -10], [3, -4, -6], [-1, -2, 7], [-1, -5, 8], [-2, -3, -4], [1, -7, -9]]",10,40,0,33656.19,22,"[{1: True, -1: False, 2: True, -2: False, 3: False, -3: True, 4: True, -4: False, 5: True, -5: False, 6: False, -6: True, 7: True, -7: False, 8: True, -8: False, 9: False, -9: True, 10: False, -10: True}]",22,848,6,23,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_3, y_1_5, y_2_3, y_2_5, y_2_7, y_3_6, y_4_10, y_4_6, y_5_6, y_5_7, y_7_10, y_8_9, y_9_10]",3.125,1.5438048235879214,4.0,848,1010111100,1024,1,25,0,stochastic,3_sat_10_variables_4.0_density_example_8,1010111100,3.125,4,6,['0011011011'],6,['0011011011'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_8
Adiabatic + circuit search,"[[-1, 5, -6], [-2, -3, -10], [-3, 8, -9], [2, -3, 9], [4, 6, 9], [1, -8, -9], [2, 6, 9], [-2, -4, 9], [1, 6, 7], [6, 8, 9], [2, -4, -8], [-3, -4, 9], [-1, 6, -8], [-2, -3, 8], [-1, 2, -8], [4, -5, 7], [-6, -8, -9], [-2, -7, 8], [-3, 5, -8], [-1, -4, 6], [2, -3, -10], [2, 4, 10], [3, -7, -9], [5, -6, -7], [-1, -4, -10], [-2, 5, -6], [-3, -6, -10], [-6, -7, 9], [3, -5, 6], [5, 6, 10], [6, 7, 9], [-1, 2, 7], [2, -6, 7], [-3, -4, 8], [3, 5, 10], [3, -8, -9], [1, 3, 8], [3, -5, -7], [-1, -3, 8], [-2, 5, 6]]",10,40,0,34653.95,19,"[{1: True, -1: False, 2: True, -2: False, 3: False, -3: True, 4: True, -4: False, 5: True, -5: False, 6: True, -6: False, 7: False, -7: True, 8: False, -8: True, 9: True, -9: False, 10: False, -10: True}]",19,638,5,24,"[x_1, x_10, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9, y_1_4, y_1_6, y_1_8, y_2_4, y_2_7, y_2_8, y_3_5, y_3_6, y_3_8, y_3_9, y_5_6, y_5_7, y_6_7, y_6_9]",4.2,1.1964860832322377,4.0,638,0111011110,1024,1,25,1,stochastic,3_sat_10_variables_4.0_density_example_9,0111011110,4.2,5,5,['0100111011'],6,['0100111011'],Circuit_Adiabatic_stochastic_3_sat_10_variables_4.0_density_example_9
